gbifID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,countryCode,decimalLatitude,decimalLongitude,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,catalogNumber,recordNumber,license,rightsHolder,recordedBy
2859438214,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,drummondii,VARIETY,Acer rubrum var. drummondii (Hook. & Arn. ex Nutt.) Sarg.,US,,,1999-04-06T00:00:00,6,4,1999,6449332,3189883,PRESERVED_SPECIMEN,CM,CM498826,333,CC0_1_0,Carnegie Museum of Natural History,Rockwell
2859438196,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,41.633333,-79.183333,1996-09-15T00:00:00,15,9,1996,3189883,3189883,PRESERVED_SPECIMEN,CM,CM473962,9441,CC0_1_0,Carnegie Museum of Natural History,Isaac
2859438194,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,41.933687,-79.987692,2005-06-01T00:00:00,1,6,2005,3189883,3189883,PRESERVED_SPECIMEN,CM,CM469900,3790,CC0_1_0,Carnegie Museum of Natural History,Grund
2859438024,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,42.341756,-72.588422,1979-04-18T00:00:00,18,4,1979,3189883,3189883,PRESERVED_SPECIMEN,CM,CM258566,86466,CC0_1_0,Carnegie Museum of Natural History,Ahles
2859437926,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,trilobum,VARIETY,Acer rubrum var. trilobum Torr. & Gray ex K.Koch,US,,,1958-04-19T00:00:00,19,4,1958,4272376,3189883,PRESERVED_SPECIMEN,CM,CM184594,s.n.,CC0_1_0,Carnegie Museum of Natural History,Radford
2859437924,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,30.086036,-94.15218,1962-02-14T00:00:00,14,2,1962,3189883,3189883,PRESERVED_SPECIMEN,CM,CM184535,s.n.,CC0_1_0,Carnegie Museum of Natural History,Aborn
2859437923,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,43.909612,-74.055205,1953-08-04T00:00:00,4,8,1953,3189883,3189883,PRESERVED_SPECIMEN,CM,CM184517,s.n.,CC0_1_0,Carnegie Museum of Natural History,Henry
2859437881,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,41.338476,-78.135881,1925-08-20T00:00:00,20,8,1925,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063451,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859437880,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,41.518671,-78.725779,1909-09-05T00:00:00,5,9,1909,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063432,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859437879,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.19782,-78.57626,1939-07-04T00:00:00,4,7,1939,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063413,1003,CC0_1_0,Carnegie Museum of Natural History,Berkheimer
