"search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches"
"sitta","Sitta",FALSE,603922,FALSE,"sibling_higher",1
"troglodytes aedon","Troglodytes aedon",FALSE,293378,FALSE,"",1
